,ID,X,Y
254,27841080,147.271,-36.3577
255,29688110,146.48,-36.0519
256,29689740,147.318,-36.095
257,30372910,147.357,-36.019
258,29689670,147.145,-36.0665
259,27840290,146.825,-36.2997
260,29688870,147.011,-36.4485
261,29686130,147.043,-36.4885
262,29689690,147.266,-36.0443
263,29687350,147.641,-35.9591
264,30247560,146.856,-36.6978
265,29688410,146.962,-36.4477
266,29688350,146.981,-36.1379
267,29633560,146.376,-36.0653
268,29690360,146.929,-36.5675
269,28515980,147.769,-35.9667
270,27849310,147.691,-36.0196
271,28513520,146.918,-36.4315
272,26150980,147.419,-36.1527
273,29689860,146.691,-36.3946
274,27841620,147.271,-36.3567
275,27843130,147.201,-36.4368
276,27850250,147.663,-36.0535
277,29689160,147.237,-36.2692
278,29688640,147.225,-36.8079
279,29687340,147.794,-35.9715
280,27848310,147.965,-36.1493
281,27841460,147.979,-36.132
282,27841680,147.236,-36.2756
283,27642770,146.828,-36.3054
284,27372700,147.022,-36.7568
285,27849530,147.931,-36.0494
286,29662050,146.389,-36.1651
287,29685490,146.907,-36.4259
288,29685520,146.919,-36.4319
289,29689730,147.317,-36.0814
290,29292720,146.691,-36.3965
291,27460050,147.836,-35.9881
292,28512750,146.417,-36.0601
293,29686540,147.318,-36.0906
294,29686720,146.691,-36.3629
295,27847750,147.037,-36.425
296,27845090,147.055,-36.2123
297,30302960,147.063,-36.8947
298,28516620,147.813,-36.1503
299,27520540,146.941,-36.235
300,29688290,146.946,-36.1432
301,29692940,146.931,-36.2471
302,28516170,147.356,-36.0327
303,27844860,147.916,-36.0467
304,29689290,146.771,-36.5977
305,27841990,147.954,-36.0665
306,29685900,147.232,-36.2857
307,27846910,147.193,-37.0154
308,28517470,146.448,-36.0463
309,29686880,146.873,-36.3736
310,27845490,147.103,-36.6286
311,27849740,147.085,-36.2715
312,29687260,146.255,-36.076
313,28112590,146.875,-36.1493
314,29686120,146.713,-36.5736
315,29688050,146.576,-36.0401
316,28514050,147.04,-36.1962
317,27842510,147.3,-36.0543
318,26151140,147.704,-36.0094
319,29686780,146.869,-36.3368
320,29691070,147.012,-36.7413
321,28514090,147.032,-36.1664
322,29691760,147.13,-36.6707
323,29692170,146.512,-36.0507
324,28516060,147.709,-35.9353
325,30015550,146.861,-36.5915
326,29692250,146.511,-36.0936
327,27848600,147.056,-36.2142
328,27846620,147.037,-36.425
329,28514610,146.878,-36.3988
330,29685890,147.237,-36.2778
331,29687270,147.837,-36.3177
332,27849830,147.67,-36.0458
333,29685990,147.225,-36.3962
334,29687190,147.643,-36.0766
335,29692810,146.395,-36.0648
336,27845740,147.273,-36.3616
337,30149420,147.025,-36.1521
338,28514060,147.035,-36.1845
339,28516930,147.144,-36.2224
340,27842210,147.135,-36.0572
341,27849880,147.683,-36.0291
342,27846770,146.239,-36.074
343,29685660,147.049,-36.2029
344,27845160,147.074,-36.0726
345,29685840,147.246,-36.2344
346,28515020,147.103,-36.228
347,27845660,147.081,-36.244
348,29688460,146.606,-36.5345
349,28516000,147.733,-35.9634
350,28851370,147.733,-35.9636
351,28515370,147.011,-36.2643
352,29690190,146.841,-36.4886
353,29685880,147.236,-36.2754
354,28515600,147.219,-36.3884
355,29688550,147.137,-36.2998
356,29687920,147.032,-36.3602
357,29686460,146.995,-36.2412
358,28513740,147.056,-36.2138
359,27850290,147.643,-36.072
360,27845270,147.015,-36.2702
361,30304390,147.065,-36.9251
362,27842180,147.134,-36.7229
363,27453010,147.613,-35.9768
364,29692820,146.394,-36.0655
365,27849910,147.686,-36.0244
366,29688190,146.775,-36.2864
367,27843240,147.026,-36.7673
368,29690100,146.861,-36.4133
369,28516750,147.958,-36.1617
370,27844910,146.956,-36.1827
371,28513820,147.051,-36.2052
372,27848270,147.036,-36.4842
373,29685970,147.453,-36.5204
374,28516500,147.932,-36.0505
375,30308660,147.051,-36.206
376,29686310,147.223,-36.4177
377,30412870,146.919,-36.4324
378,29688220,146.828,-36.2424
379,29686970,146.867,-36.3927
380,27840300,146.806,-36.2762
381,29687280,147.84,-36.2744
382,27845750,147.932,-36.0501
383,27859400,146.453,-37.1315
384,26626280,147.914,-36.0466
385,27844400,147.907,-36.0162
386,27849920,147.679,-36.0354
387,27843700,146.904,-36.4234
388,27840090,147.826,-36.3949
389,27838590,147.662,-36.0543
390,29687030,147.628,-36.1713
391,29688720,146.714,-36.555
392,27841470,147.967,-36.1468
