ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment End,5510107031,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,43,0.1439438,,2023-10-17T07:42:16.0,2023-10-17T07:42:16.0
Segment Start,5236211371,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,92,0.0,,2023-10-17T08:07:55.0,2023-10-17T08:07:55.0
Segment End,5236211371,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,93,0.29374439999999996,,2023-10-17T08:08:22.0,2023-10-17T08:08:22.0
Segment Start,5236211393,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,90,0.0,,2023-10-17T08:07:51.0,2023-10-17T08:07:51.0
Segment End,5236211393,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,91,0.0542632,,2023-10-17T08:07:55.0,2023-10-17T08:07:55.0
Segment Start,5236210282,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,112,0.0,,2023-10-17T08:09:45.0,2023-10-17T08:09:45.0
Segment End,5236210282,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,113,0.1474219,,2023-10-17T08:09:58.0,2023-10-17T08:09:58.0
Segment Start,5236208806,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,140,0.0,,2023-10-17T08:12:04.0,2023-10-17T08:12:04.0
Segment End,5236208806,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,141,0.1020245,,2023-10-17T08:12:13.0,2023-10-17T08:12:13.0
Segment Start,5236211528,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,88,0.0,,2023-10-17T08:07:31.0,2023-10-17T08:07:31.0
Segment End,5236211528,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,89,0.21536170000000002,,2023-10-17T08:07:51.0,2023-10-17T08:07:51.0
Segment Start,5236209136,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,128,0.03,,2023-10-17T08:11:29.0,2023-10-17T08:11:29.0
Segment End,5236209136,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,129,0.013676500000000001,,2023-10-17T08:11:31.0,2023-10-17T08:11:31.0
Segment Start,5510107392,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,50,0.0,,2023-10-17T07:43:04.0,2023-10-17T07:43:04.0
Segment End,5510107392,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,51,0.2889054,,2023-10-17T07:43:30.0,2023-10-17T07:43:30.0
Segment Start,5218207815,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,184,0.0,,2023-10-17T08:16:14.0,2023-10-17T08:16:14.0
Segment End,5218207815,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,185,0.0638898,,2023-10-17T08:16:20.0,2023-10-17T08:16:20.0
Segment Start,5510106937,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,38,0.0,,2023-10-17T07:41:21.0,2023-10-17T07:41:21.0
Segment End,5510106937,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,39,0.3646882,,2023-10-17T07:41:54.0,2023-10-17T07:41:54.0
Segment Start,5510106607,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,26,1.43,,2023-10-17T07:40:02.0,2023-10-17T07:40:02.0
Segment End,5510106607,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,27,0.032028799999999996,,2023-10-17T07:40:05.0,2023-10-17T07:40:05.0
Segment Start,5236210895,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,100,0.0,,2023-10-17T08:08:50.0,2023-10-17T08:08:50.0
Segment End,5236210895,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,101,0.0999226,,2023-10-17T08:08:59.0,2023-10-17T08:08:59.0
Segment Start,5218107565,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,170,0.0,,2023-10-17T08:14:38.0,2023-10-17T08:14:38.0
Segment End,5218107565,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,171,0.015909,,2023-10-17T08:14:39.0,2023-10-17T08:14:39.0
Segment Start,5236208323,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,156,0.0,,2023-10-17T08:13:06.0,2023-10-17T08:13:06.0
Segment End,5236208323,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,157,0.0842476,,2023-10-17T08:13:13.0,2023-10-17T08:13:13.0
