Variable,Value
"x[55100072040,52362121800,WodoStateHaz_1]",0.0
"x[52362108950,52362097371,WodoStateHaz_1]",0.0
"x[52362088060,52180076831,WodoStateHaz_1]",0.0
"x[52362086121,80652076031,WodoStateHaz_1]",0.0
"x[52182077010,52362113930,WodoStateHaz_1]",0.0
"x[80652075271,52362078460,WodoStateHaz_1]",-0.0
"x[80662074660,52180075590,WodoStateHaz_1]",0.0
"x[80652074960,55101066851,WodoStateHaz_1]",0.0
"x[55101073920,52362073460,WodoStateHaz_1]",0.0
"x[80152074931,52362072191,WodoStateHaz_1]",0.0
"x[52362117591,55100072040,WodoStateHaz_1]",-0.0
"x[52362101001,52362085320,WodoStateHaz_1]",-0.0
"x[52362111970,52360073660,WodoStateHaz_1]",0.0
"x[52361103430,55100074241,WodoStateHaz_1]",0.0
"x[52362083231,52362101001,WodoStateHaz_1]",0.0
"x[52361103430,52181075651,WodoStateHaz_1]",0.0
"x[80152074930,55100072841,WodoStateHaz_1]",0.0
"x[52362087041,52362087041,WodoStateHaz_1]",0.0
"x[52180075591,55101069371,WodoStateHaz_1]",0.0
"x[52362089971,55101073921,WodoStateHaz_1]",0.0
"x[52182077011,52362097370,WodoStateHaz_1]",-0.0
"x[52362117170,55100072041,WodoStateHaz_1]",0.0
"x[55100069641,52362072861,WodoStateHaz_1]",0.0
"x[55101069660,52362095850,WodoStateHaz_1]",0.0
"x[55100066110,52362117730,WodoStateHaz_1]",0.0
"x[52362087041,52362079191,WodoStateHaz_1]",0.0
"x[52362087040,52362084950,WodoStateHaz_1]",0.0
"x[52362083231,52362078461,WodoStateHaz_1]",0.0
"x[52362078460,52362097371,WodoStateHaz_1]",0.0
"x[52362072191,52182077950,WodoStateHaz_1]",0.0
"x[80662074660,52362088060,WodoStateHaz_1]",0.0
"x[80652075271,52361078481,WodoStateHaz_1]",0.0
"x[52362071861,55100074740,WodoStateHaz_1]",-0.0
"x[52361103300,52362095850,WodoStateHaz_1]",0.0
"x[52362101200,55101066071,WodoStateHaz_1]",0.0
"x[52182077950,55101071740,WodoStateHaz_1]",0.0
"x[55100066490,52362117171,WodoStateHaz_1]",0.0
"x[52362110771,52361117721,WodoStateHaz_1]",0.0
"x[52362085140,52362108950,WodoStateHaz_1]",0.0
"x[55101070311,52361085341,WodoStateHaz_1]",0.0
"x[52181075731,52362103090,WodoStateHaz_1]",-0.0
"x[52362095850,52181075731,WodoStateHaz_1]",0.0
"x[52362101200,52362117590,WodoStateHaz_1]",0.0
"x[52362085321,52362088060,WodoStateHaz_1]",-0.0
"x[52361103301,80152074931,WodoStateHaz_1]",0.0
"x[52360073661,52362108951,WodoStateHaz_1]",0.0
"x[55100072841,52181075561,WodoStateHaz_1]",0.0
"x[52362111971,52362117651,WodoStateHaz_1]",0.0
"x[52361103431,55101071741,WodoStateHaz_1]",0.0
"x[52362085141,52361085340,WodoStateHaz_1]",-0.0
"x[52362071861,52181076840,WodoStateHaz_1]",-0.0
"x[52362093371,52362119991,WodoStateHaz_1]",0.0
"x[55101071741,80652076031,WodoStateHaz_1]",0.0
"x[52181075560,52362078461,WodoStateHaz_1]",0.0
"x[80152074470,80652075270,WodoStateHaz_1]",0.0
"x[55101066160,52362078101,WodoStateHaz_1]",0.0
"x[52362079190,52180076831,WodoStateHaz_1]",0.0
"x[52362107541,52361103430,WodoStateHaz_1]",1.0
"x[55101067850,52361091390,WodoStateHaz_1]",0.0
"x[52361078481,52362103410,WodoStateHaz_1]",-0.0
"x[55101070310,52362102820,WodoStateHaz_1]",0.0
"x[52362095850,52181075650,WodoStateHaz_1]",0.0
"x[55101066850,52180075591,WodoStateHaz_1]",0.0
"x[55101071271,52180076831,WodoStateHaz_1]",0.0
"x[52362117170,52181076841,WodoStateHaz_1]",0.0
"x[52362095850,52362115631,WodoStateHaz_1]",0.0
"x[80652075271,52362111971,WodoStateHaz_1]",0.0
"x[52362110771,55101066850,WodoStateHaz_1]",-0.0
"x[55101069661,52362103411,WodoStateHaz_1]",0.0
"x[52361085340,52362090981,WodoStateHaz_1]",0.0
"x[52362109240,52362079590,WodoStateHaz_1]",0.0
"x[80152074931,55100074740,WodoStateHaz_1]",-0.0
"x[52180076831,52362072191,WodoStateHaz_1]",0.0
"x[55100074240,52361085180,WodoStateHaz_1]",0.0
"x[52362071860,55101072160,WodoStateHaz_1]",0.0
"x[55100071720,52362089971,WodoStateHaz_1]",0.0
